Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Non zero edges,Edge compr. rate,Total graph compr
0,29,26,10.34,64,82,56,12.5,22.84
1,26,20,23.08,56,58,39,30.36,53.44
2,16,13,18.75,34,37,25,26.47,45.22
3,27,25,7.41,60,79,54,10.0,17.41
4,21,18,14.29,44,56,38,13.64,27.93
5,28,26,7.14,60,82,56,6.67,13.809999999999999
6,19,18,5.26,38,54,36,5.26,10.52
7,16,14,12.5,32,40,26,18.75,31.25
8,22,19,13.64,46,57,38,17.39,31.03
9,18,16,11.11,38,48,32,15.79,26.9
10,23,22,4.35,48,68,46,4.17,8.52
11,24,24,0.0,52,76,52,0.0,0.0
12,17,17,0.0,36,53,36,0.0,0.0
13,17,16,5.88,38,50,35,7.89,13.77
14,18,18,0.0,38,56,38,0.0,0.0
15,30,28,6.67,66,88,60,9.09,15.76
16,26,22,15.38,58,68,46,20.69,36.07
17,26,24,7.69,58,76,52,10.34,18.03
18,21,20,4.76,44,62,42,4.55,9.309999999999999
19,24,22,8.33,52,68,46,11.54,19.869999999999997
20,27,25,7.41,58,79,54,6.9,14.31
21,24,20,16.67,52,60,40,23.08,39.75
22,23,21,8.7,52,67,46,11.54,20.24
23,29,25,13.79,64,77,52,18.75,32.54
24,31,25,19.35,70,77,52,25.71,45.06
25,18,17,5.56,34,49,32,5.88,11.44
26,24,24,0.0,50,74,50,0.0,0.0
27,20,18,10.0,40,54,36,10.0,20.0
28,16,16,0.0,34,50,34,0.0,0.0
29,31,26,16.13,68,80,54,20.59,36.72
30,26,24,7.69,54,72,48,11.11,18.8
31,33,28,15.15,74,86,60,18.92,34.07
32,22,19,13.64,48,59,40,16.67,30.310000000000002
33,22,20,9.09,48,62,42,12.5,21.59
34,28,25,10.71,60,77,53,11.67,22.380000000000003
35,26,25,3.85,56,79,54,3.57,7.42
36,22,20,9.09,46,60,40,13.04,22.13
37,25,25,0.0,52,77,52,0.0,0.0
38,19,18,5.26,38,54,36,5.26,10.52
39,22,22,0.0,46,68,46,0.0,0.0
40,24,20,16.67,50,60,40,20.0,36.67
41,20,20,0.0,42,62,42,0.0,0.0
42,30,30,0.0,66,96,66,0.0,0.0
43,18,17,5.56,38,53,36,5.26,10.82
44,20,19,5.0,42,59,40,4.76,9.76
45,32,32,0.0,72,104,72,0.0,0.0
46,29,27,6.9,64,85,58,9.38,16.28
47,23,22,4.35,50,68,47,6.0,10.35
48,20,19,5.0,42,59,40,4.76,9.76
49,24,18,25.0,52,52,35,32.69,57.69
50,21,21,0.0,46,67,46,0.0,0.0
51,19,16,15.79,42,50,34,19.05,34.84
52,21,21,0.0,46,67,46,0.0,0.0
53,26,26,0.0,58,84,58,0.0,0.0
54,24,24,0.0,52,76,52,0.0,0.0
55,21,20,4.76,46,64,44,4.35,9.11
56,23,21,8.7,50,65,44,12.0,20.7
57,29,27,6.9,64,85,58,9.38,16.28
58,25,25,0.0,56,81,56,0.0,0.0
59,26,25,3.85,56,79,54,3.57,7.42
60,20,18,10.0,42,56,38,9.52,19.52
61,20,19,5.0,44,59,40,9.09,14.09
62,25,18,28.0,54,52,34,37.04,65.03999999999999
63,17,17,0.0,34,51,34,0.0,0.0
64,24,20,16.67,52,60,40,23.08,39.75
65,26,21,19.23,56,63,43,23.21,42.44
66,25,20,20.0,54,60,40,25.93,45.93
67,21,16,23.81,44,46,30,31.82,55.629999999999995
68,26,26,0.0,58,84,58,0.0,0.0
69,19,18,5.26,42,56,39,7.14,12.399999999999999
70,22,22,0.0,48,70,48,0.0,0.0
71,20,20,0.0,44,64,44,0.0,0.0
72,35,32,8.57,76,100,68,10.53,19.1
73,24,22,8.33,52,68,47,9.62,17.95
74,25,25,0.0,54,79,54,0.0,0.0
75,24,22,8.33,52,68,46,11.54,19.869999999999997
76,25,22,12.0,54,66,45,16.67,28.67
77,25,25,0.0,54,79,54,0.0,0.0
78,22,22,0.0,48,70,48,0.0,0.0
79,19,18,5.26,38,54,36,5.26,10.52
80,24,23,4.17,50,71,48,4.0,8.17
81,27,26,3.7,58,82,56,3.45,7.15
82,24,22,8.33,52,68,46,11.54,19.869999999999997
83,25,22,12.0,52,66,44,15.38,27.380000000000003
84,30,27,10.0,64,83,56,12.5,22.5
85,22,22,0.0,50,72,50,0.0,0.0
86,18,16,11.11,40,50,34,15.0,26.11
87,24,23,4.17,50,71,48,4.0,8.17
88,28,26,7.14,62,82,56,9.68,16.82
89,28,26,7.14,60,82,56,6.67,13.809999999999999
90,19,17,10.53,40,51,34,15.0,25.53
91,24,24,0.0,52,76,52,0.0,0.0
92,20,20,0.0,40,60,40,0.0,0.0
