Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
0,110,110,0.0,880,880,0.0
1,117,117,0.0,936,936,0.0
2,114,114,0.0,912,912,0.0
3,114,114,0.0,912,912,0.0
4,118,117,0.85,944,922,2.33
5,117,116,0.85,936,914,2.35
6,116,116,0.0,928,928,0.0
7,121,121,0.0,968,968,0.0
8,119,119,0.0,952,952,0.0
9,123,122,0.81,984,964,2.03
10,122,122,0.0,976,976,0.0
11,119,119,0.0,952,952,0.0
12,121,121,0.0,968,968,0.0
13,109,109,0.0,872,872,0.0
14,113,112,0.88,904,882,2.43
15,113,113,0.0,904,904,0.0
16,131,131,0.0,1048,1048,0.0
17,120,120,0.0,960,960,0.0
18,121,121,0.0,968,968,0.0
19,120,120,0.0,960,960,0.0
20,116,116,0.0,928,928,0.0
21,112,112,0.0,896,896,0.0
22,116,116,0.0,928,928,0.0
23,120,120,0.0,960,960,0.0
24,120,120,0.0,960,960,0.0
25,119,119,0.0,952,952,0.0
26,120,120,0.0,960,960,0.0
27,120,120,0.0,960,960,0.0
28,112,112,0.0,896,896,0.0
29,121,120,0.83,968,948,2.07
30,116,116,0.0,928,928,0.0
31,117,117,0.0,936,936,0.0
32,120,120,0.0,960,960,0.0
33,107,107,0.0,856,856,0.0
34,116,116,0.0,928,928,0.0
35,118,118,0.0,944,944,0.0
36,119,118,0.84,952,932,2.1
37,118,118,0.0,944,944,0.0
38,122,122,0.0,976,976,0.0
39,117,117,0.0,936,936,0.0
40,123,123,0.0,984,984,0.0
41,109,109,0.0,872,872,0.0
42,116,116,0.0,928,928,0.0
43,118,118,0.0,944,944,0.0
44,125,125,0.0,1000,1000,0.0
45,124,123,0.81,992,972,2.02
46,115,114,0.87,920,897,2.5
47,115,114,0.87,920,898,2.39
48,121,121,0.0,968,968,0.0
49,114,114,0.0,912,912,0.0
50,121,121,0.0,968,968,0.0
51,119,119,0.0,952,952,0.0
52,112,112,0.0,896,896,0.0
53,110,110,0.0,880,880,0.0
54,128,127,0.78,1024,1004,1.95
55,118,118,0.0,944,944,0.0
56,124,123,0.81,992,969,2.32
57,118,117,0.85,944,921,2.44
58,123,123,0.0,984,984,0.0
59,115,115,0.0,920,920,0.0
60,121,121,0.0,968,968,0.0
61,120,119,0.83,960,939,2.19
62,120,120,0.0,960,960,0.0
63,118,118,0.0,944,944,0.0
64,117,117,0.0,936,936,0.0
65,121,121,0.0,968,968,0.0
66,129,128,0.78,1032,1011,2.03
67,121,120,0.83,968,948,2.07
68,116,116,0.0,928,928,0.0
