Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
0,92,92,0.0,2694,2694,0.0
1,130,130,0.0,4974,4974,0.0
2,121,121,0.0,4510,4510,0.0
3,103,103,0.0,3346,3346,0.0
4,119,119,0.0,4378,4378,0.0
5,127,127,0.0,4900,4900,0.0
6,132,132,0.0,5200,5200,0.0
7,114,114,0.0,3830,3830,0.0
8,79,79,0.0,1894,1894,0.0
9,126,126,0.0,4856,4856,0.0
10,147,147,0.0,6432,6432,0.0
11,129,129,0.0,5154,5154,0.0
12,95,95,0.0,2778,2778,0.0
13,139,139,0.0,5984,5984,0.0
14,102,102,0.0,3170,3170,0.0
15,92,92,0.0,2652,2652,0.0
16,104,104,0.0,3350,3350,0.0
17,95,95,0.0,2732,2732,0.0
18,116,116,0.0,4166,4166,0.0
19,118,118,0.0,4352,4352,0.0
20,117,117,0.0,4070,4070,0.0
21,103,103,0.0,3186,3186,0.0
22,104,104,0.0,3276,3276,0.0
23,102,102,0.0,3234,3234,0.0
24,136,136,0.0,5694,5694,0.0
25,106,106,0.0,3538,3538,0.0
26,175,175,0.0,9234,9234,0.0
27,109,109,0.0,3678,3678,0.0
28,115,115,0.0,3980,3980,0.0
29,134,134,0.0,5378,5378,0.0
30,152,152,0.0,6912,6912,0.0
31,119,119,0.0,4276,4276,0.0
32,138,138,0.0,5612,5612,0.0
33,114,114,0.0,3826,3826,0.0
34,94,94,0.0,2688,2688,0.0
35,121,121,0.0,4330,4330,0.0
36,142,142,0.0,5774,5774,0.0
37,86,86,0.0,2286,2286,0.0
38,157,157,0.0,7572,7572,0.0
39,92,92,0.0,2730,2730,0.0
40,72,72,0.0,1644,1644,0.0
41,143,143,0.0,6206,6206,0.0
42,117,117,0.0,4306,4306,0.0
43,153,153,0.0,7180,7180,0.0
44,124,124,0.0,4670,4670,0.0
45,97,97,0.0,2764,2764,0.0
46,124,124,0.0,4528,4528,0.0
47,154,154,0.0,7126,7126,0.0
48,106,106,0.0,3500,3500,0.0
49,99,99,0.0,2960,2960,0.0
50,135,135,0.0,5550,5550,0.0
51,98,98,0.0,2924,2924,0.0
52,93,93,0.0,2724,2724,0.0
53,144,144,0.0,6352,6352,0.0
54,119,119,0.0,4272,4272,0.0
55,109,109,0.0,3634,3634,0.0
56,120,120,0.0,4306,4306,0.0
57,131,131,0.0,5270,5270,0.0
58,173,173,0.0,9118,9118,0.0
59,121,121,0.0,4390,4390,0.0
60,114,114,0.0,3916,3916,0.0
61,129,129,0.0,5048,5048,0.0
62,120,120,0.0,4444,4444,0.0
63,127,127,0.0,4958,4958,0.0
64,126,126,0.0,4940,4940,0.0
65,105,105,0.0,3394,3394,0.0
66,142,142,0.0,6100,6100,0.0
67,90,90,0.0,2426,2426,0.0
68,130,130,0.0,5044,5044,0.0
69,127,127,0.0,4922,4922,0.0
70,127,127,0.0,4814,4814,0.0
71,127,127,0.0,4836,4836,0.0
72,128,128,0.0,4850,4850,0.0
73,139,139,0.0,5870,5870,0.0
74,129,129,0.0,5002,5002,0.0
75,133,133,0.0,5416,5416,0.0
76,96,96,0.0,2998,2998,0.0
77,109,109,0.0,3660,3660,0.0
78,136,136,0.0,5624,5624,0.0
79,107,107,0.0,3412,3412,0.0
80,108,108,0.0,3456,3456,0.0
81,100,100,0.0,3168,3168,0.0
82,76,76,0.0,1738,1738,0.0
83,118,118,0.0,4120,4120,0.0
84,120,120,0.0,4580,4580,0.0
85,107,107,0.0,3540,3540,0.0
86,146,146,0.0,6464,6464,0.0
87,114,114,0.0,3838,3838,0.0
88,147,147,0.0,6552,6552,0.0
89,118,118,0.0,4078,4078,0.0
90,112,112,0.0,3872,3872,0.0
91,95,95,0.0,2888,2888,0.0
92,153,153,0.0,7200,7200,0.0
93,116,116,0.0,4248,4248,0.0
94,143,143,0.0,6108,6108,0.0
95,97,97,0.0,2828,2828,0.0
96,92,92,0.0,2554,2554,0.0
97,86,86,0.0,2322,2322,0.0
98,120,120,0.0,4318,4318,0.0
99,101,101,0.0,3198,3198,0.0
100,92,92,0.0,2608,2608,0.0
101,103,103,0.0,3244,3244,0.0
102,101,101,0.0,3094,3094,0.0
103,111,111,0.0,3752,3752,0.0
104,111,111,0.0,3884,3884,0.0
105,122,122,0.0,4596,4596,0.0
106,84,84,0.0,2128,2128,0.0
107,155,155,0.0,7116,7116,0.0
108,102,102,0.0,2978,2978,0.0
109,101,101,0.0,3070,3070,0.0
