Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
0,69,69,0.0,552,552,0.0
1,71,71,0.0,568,568,0.0
2,73,73,0.0,584,584,0.0
3,75,75,0.0,600,600,0.0
4,75,75,0.0,600,600,0.0
5,72,72,0.0,576,576,0.0
6,74,74,0.0,592,592,0.0
7,66,66,0.0,528,528,0.0
8,73,73,0.0,584,584,0.0
9,74,74,0.0,592,592,0.0
10,70,70,0.0,560,560,0.0
11,69,69,0.0,552,552,0.0
12,75,75,0.0,600,600,0.0
13,72,72,0.0,576,576,0.0
14,71,70,1.41,568,568,4.05
15,67,67,0.0,536,536,0.0
16,74,74,0.0,592,592,0.0
17,73,72,1.37,584,584,3.6
18,69,69,0.0,552,552,0.0
19,65,65,0.0,520,520,0.0
20,47,47,0.0,376,376,0.0
21,75,75,0.0,600,600,0.0
22,72,72,0.0,576,576,0.0
23,75,75,0.0,600,600,0.0
24,74,74,0.0,592,592,0.0
25,72,72,0.0,576,576,0.0
26,73,73,0.0,584,584,0.0
27,73,73,0.0,584,584,0.0
28,73,73,0.0,584,584,0.0
29,70,70,0.0,560,560,0.0
30,73,73,0.0,584,584,0.0
31,71,71,0.0,568,568,0.0
32,73,73,0.0,584,584,0.0
33,75,75,0.0,600,600,0.0
34,69,68,1.45,552,552,3.8
35,73,73,0.0,584,584,0.0
36,70,69,1.43,560,560,3.75
37,73,72,1.37,584,584,3.6
38,75,75,0.0,600,600,0.0
39,72,72,0.0,576,576,0.0
40,72,72,0.0,576,576,0.0
41,72,72,0.0,576,576,0.0
42,75,75,0.0,600,600,0.0
43,71,71,0.0,568,568,0.0
44,71,71,0.0,568,568,0.0
45,72,72,0.0,576,576,0.0
46,73,73,0.0,584,584,0.0
47,74,74,0.0,592,592,0.0
48,71,71,0.0,568,568,0.0
49,71,71,0.0,568,568,0.0
50,74,74,0.0,592,592,0.0
51,74,74,0.0,592,592,0.0
52,70,70,0.0,560,560,0.0
53,71,70,1.41,568,568,3.52
54,75,75,0.0,600,600,0.0
55,69,69,0.0,552,552,0.0
56,70,70,0.0,560,560,0.0
57,73,73,0.0,584,584,0.0
58,49,49,0.0,392,392,0.0
59,74,74,0.0,592,592,0.0
60,71,71,0.0,568,568,0.0
61,75,75,0.0,600,600,0.0
62,66,65,1.52,528,528,3.98
63,69,69,0.0,552,552,0.0
64,70,70,0.0,560,560,0.0
65,73,73,0.0,584,584,0.0
66,74,74,0.0,592,592,0.0
67,75,75,0.0,600,600,0.0
68,75,75,0.0,600,600,0.0
69,71,71,0.0,568,568,0.0
70,73,73,0.0,584,584,0.0
71,74,74,0.0,592,592,0.0
72,71,70,1.41,568,568,3.7
73,46,46,0.0,368,368,0.0
74,68,68,0.0,544,544,0.0
75,75,75,0.0,600,600,0.0
76,67,67,0.0,536,536,0.0
77,73,73,0.0,584,584,0.0
78,75,75,0.0,600,600,0.0
79,75,75,0.0,600,600,0.0
80,73,73,0.0,584,584,0.0
81,45,45,0.0,360,360,0.0
82,72,72,0.0,576,576,0.0
83,66,66,0.0,528,528,0.0
84,72,72,0.0,576,576,0.0
85,74,74,0.0,592,592,0.0
86,74,74,0.0,592,592,0.0
87,68,68,0.0,544,544,0.0
88,72,72,0.0,576,576,0.0
89,75,75,0.0,600,600,0.0
90,48,48,0.0,384,384,0.0
91,71,71,0.0,568,568,0.0
92,71,71,0.0,568,568,0.0
93,70,70,0.0,560,560,0.0
94,71,71,0.0,568,568,0.0
95,70,70,0.0,560,560,0.0
96,69,69,0.0,552,552,0.0
97,71,71,0.0,568,568,0.0
98,46,46,0.0,368,368,0.0
99,70,70,0.0,560,560,0.0
100,75,75,0.0,600,600,0.0
101,71,71,0.0,568,568,0.0
102,68,68,0.0,544,544,0.0
103,68,68,0.0,544,544,0.0
104,73,73,0.0,584,584,0.0
105,73,73,0.0,584,584,0.0
106,72,72,0.0,576,576,0.0
107,73,72,1.37,584,584,3.42
108,67,67,0.0,536,536,0.0
109,71,71,0.0,568,568,0.0
110,75,74,1.33,600,600,3.83
111,70,70,0.0,560,560,0.0
112,75,75,0.0,600,600,0.0
113,72,72,0.0,576,576,0.0
114,75,75,0.0,600,600,0.0
115,71,70,1.41,568,568,3.52
116,72,72,0.0,576,576,0.0
117,72,72,0.0,576,576,0.0
118,71,71,0.0,568,568,0.0
119,70,70,0.0,560,560,0.0
120,66,66,0.0,528,528,0.0
121,71,70,1.41,568,568,3.87
122,71,71,0.0,568,568,0.0
123,47,47,0.0,376,376,0.0
124,75,75,0.0,600,600,0.0
125,72,72,0.0,576,576,0.0
126,70,70,0.0,560,560,0.0
127,67,67,0.0,536,536,0.0
128,72,72,0.0,576,576,0.0
129,67,67,0.0,536,536,0.0
130,72,72,0.0,576,576,0.0
131,70,70,0.0,560,560,0.0
132,74,74,0.0,592,592,0.0
133,67,67,0.0,536,536,0.0
134,70,70,0.0,560,560,0.0
135,70,69,1.43,560,560,3.93
136,74,74,0.0,592,592,0.0
137,72,71,1.39,576,576,3.47
138,72,72,0.0,576,576,0.0
139,70,70,0.0,560,560,0.0
140,73,73,0.0,584,584,0.0
141,70,70,0.0,560,560,0.0
142,73,73,0.0,584,584,0.0
143,74,74,0.0,592,592,0.0
144,73,73,0.0,584,584,0.0
145,73,73,0.0,584,584,0.0
146,73,73,0.0,584,584,0.0
147,70,70,0.0,560,560,0.0
148,75,75,0.0,600,600,0.0
149,74,74,0.0,592,592,0.0
150,75,75,0.0,600,600,0.0
151,63,63,0.0,504,504,0.0
152,73,73,0.0,584,584,0.0
153,67,67,0.0,536,536,0.0
154,67,67,0.0,536,536,0.0
155,74,74,0.0,592,592,0.0
156,70,70,0.0,560,560,0.0
157,75,75,0.0,600,600,0.0
158,75,75,0.0,600,600,0.0
159,72,72,0.0,576,576,0.0
160,72,72,0.0,576,576,0.0
161,71,71,0.0,568,568,0.0
162,71,71,0.0,568,568,0.0
163,74,74,0.0,592,592,0.0
164,75,74,1.33,600,600,3.5
165,71,71,0.0,568,568,0.0
166,71,71,0.0,568,568,0.0
167,70,70,0.0,560,560,0.0
168,75,75,0.0,600,600,0.0
169,73,73,0.0,584,584,0.0
170,72,72,0.0,576,576,0.0
171,70,70,0.0,560,560,0.0
172,75,75,0.0,600,600,0.0
173,73,73,0.0,584,584,0.0
174,75,75,0.0,600,600,0.0
175,74,74,0.0,592,592,0.0
176,48,48,0.0,384,384,0.0
177,75,75,0.0,600,600,0.0
178,72,72,0.0,576,576,0.0
179,71,70,1.41,568,568,4.23
180,73,73,0.0,584,584,0.0
181,70,70,0.0,560,560,0.0
182,72,72,0.0,576,576,0.0
183,72,72,0.0,576,576,0.0
184,74,74,0.0,592,592,0.0
185,73,73,0.0,584,584,0.0
186,74,74,0.0,592,592,0.0
187,69,69,0.0,552,552,0.0
188,48,48,0.0,384,384,0.0
189,72,72,0.0,576,576,0.0
190,72,71,1.39,576,576,3.82
