Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
0,29,26,10.34,64,64,15.62
1,26,20,23.08,56,56,39.29
2,16,13,18.75,34,34,35.29
3,27,25,7.41,60,60,13.33
4,21,18,14.29,44,44,15.91
5,28,26,7.14,60,60,5.0
6,19,18,5.26,38,38,5.26
7,16,14,12.5,32,32,25.0
8,22,19,13.64,46,46,21.74
9,18,16,11.11,38,38,21.05
10,23,22,4.35,48,48,4.17
11,24,24,0.0,52,52,0.0
12,17,17,0.0,36,36,0.0
13,17,16,5.88,38,38,10.53
14,18,18,0.0,38,38,0.0
15,30,28,6.67,66,66,12.12
16,26,22,15.38,58,58,27.59
17,26,24,7.69,58,58,13.79
18,21,20,4.76,44,44,4.55
19,24,22,8.33,52,52,15.38
20,27,25,7.41,58,58,5.17
21,24,20,16.67,52,52,30.77
22,23,21,8.7,52,52,15.38
23,29,25,13.79,64,64,25.0
24,31,25,19.35,70,70,34.29
25,18,17,5.56,34,34,5.88
26,24,24,0.0,50,50,0.0
27,20,18,10.0,40,40,7.5
28,16,16,0.0,34,34,0.0
29,31,26,16.13,68,68,26.47
30,26,24,7.69,54,54,14.81
31,33,28,15.15,74,74,25.68
32,22,19,13.64,48,48,20.83
33,22,20,9.09,48,48,16.67
34,28,25,10.71,60,60,16.67
35,26,25,3.85,56,56,3.57
36,22,20,9.09,46,46,17.39
37,25,25,0.0,52,52,0.0
38,19,18,5.26,38,38,5.26
39,22,22,0.0,46,46,0.0
40,24,20,16.67,50,50,22.0
41,20,20,0.0,42,42,0.0
42,30,30,0.0,66,66,0.0
43,18,17,5.56,38,38,5.26
44,20,19,5.0,42,42,4.76
45,32,32,0.0,72,72,0.0
46,29,27,6.9,64,64,12.5
47,23,22,4.35,50,50,8.0
48,20,19,5.0,42,42,4.76
49,24,18,25.0,52,52,44.23
50,21,21,0.0,46,46,0.0
51,19,16,15.79,42,42,23.81
52,21,21,0.0,46,46,0.0
53,26,26,0.0,58,58,0.0
54,24,24,0.0,52,52,0.0
55,21,20,4.76,46,46,4.35
56,23,21,8.7,50,50,16.0
57,29,27,6.9,64,64,12.5
58,25,25,0.0,56,56,0.0
59,26,25,3.85,56,56,3.57
60,20,18,10.0,42,42,7.14
61,20,19,5.0,44,44,11.36
62,25,18,28.0,54,54,48.15
63,17,17,0.0,34,34,0.0
64,24,20,16.67,52,52,30.77
65,26,21,19.23,56,56,32.14
66,25,20,20.0,54,54,33.33
67,21,16,23.81,44,44,43.18
68,26,26,0.0,58,58,0.0
69,19,18,5.26,42,42,9.52
70,22,22,0.0,48,48,0.0
71,20,20,0.0,44,44,0.0
72,35,32,8.57,76,76,13.16
73,24,22,8.33,52,52,13.46
74,25,25,0.0,54,54,0.0
75,24,22,8.33,52,52,15.38
76,25,22,12.0,54,54,22.22
77,25,25,0.0,54,54,0.0
78,22,22,0.0,48,48,0.0
79,19,18,5.26,38,38,5.26
80,24,23,4.17,50,50,4.0
81,27,26,3.7,58,58,3.45
82,24,22,8.33,52,52,15.38
83,25,22,12.0,52,52,19.23
84,30,27,10.0,64,64,15.62
85,22,22,0.0,50,50,0.0
86,18,16,11.11,40,40,20.0
87,24,23,4.17,50,50,4.0
88,28,26,7.14,62,62,12.9
89,28,26,7.14,60,60,6.67
90,19,17,10.53,40,40,20.0
91,24,24,0.0,52,52,0.0
92,20,20,0.0,40,40,0.0
93,21,16,23.81,46,46,39.13
94,25,21,16.0,54,54,29.63
95,21,19,9.52,44,44,13.64
96,20,19,5.0,42,42,4.76
97,25,23,8.0,56,56,14.29
98,23,21,8.7,52,52,15.38
99,27,27,0.0,60,60,0.0
100,21,20,4.76,44,44,4.55
101,21,21,0.0,44,44,0.0
102,27,25,7.41,60,60,13.33
103,22,18,18.18,48,48,33.33
104,19,19,0.0,40,40,0.0
105,18,18,0.0,36,36,0.0
106,18,18,0.0,38,38,0.0
107,26,24,7.69,54,54,5.56
108,18,15,16.67,36,36,27.78
109,24,22,8.33,52,52,15.38
110,18,15,16.67,38,38,34.21
111,24,23,4.17,54,54,3.7
112,32,27,15.62,72,72,25.0
113,26,26,0.0,58,58,0.0
114,30,30,0.0,66,66,0.0
115,23,19,17.39,48,48,33.33
116,26,22,15.38,56,56,21.43
117,18,18,0.0,36,36,0.0
118,22,17,22.73,46,46,32.61
119,22,19,13.64,48,48,25.0
120,33,33,0.0,72,72,0.0
121,19,17,10.53,40,40,20.0
122,21,19,9.52,44,44,18.18
123,21,19,9.52,44,44,18.18
124,17,14,17.65,34,34,32.35
125,23,21,8.7,48,48,16.67
126,21,19,9.52,46,46,17.39
127,19,17,10.53,40,40,20.0
128,20,16,20.0,42,42,23.81
129,25,25,0.0,56,56,0.0
130,31,28,9.68,68,68,14.71
131,23,23,0.0,48,48,0.0
132,28,23,17.86,60,60,30.0
133,22,21,4.55,48,48,4.17
134,21,21,0.0,44,44,0.0
135,29,25,13.79,64,64,25.0
136,23,23,0.0,48,48,0.0
137,20,18,10.0,42,42,19.05
138,20,16,20.0,42,42,26.19
139,24,20,16.67,50,50,24.0
140,18,18,0.0,38,38,0.0
141,30,27,10.0,64,64,7.81
142,15,15,0.0,34,34,0.0
143,19,15,21.05,40,40,40.0
144,25,24,4.0,52,52,3.85
145,26,24,7.69,58,58,13.79
146,25,23,8.0,54,54,14.81
147,20,20,0.0,42,42,0.0
148,26,24,7.69,56,56,14.29
149,17,17,0.0,36,36,0.0
150,26,26,0.0,56,56,0.0
151,15,15,0.0,32,32,0.0
152,27,23,14.81,58,58,27.59
153,15,15,0.0,32,32,0.0
154,19,16,15.79,42,42,21.43
155,28,23,17.86,60,60,30.0
156,27,25,7.41,60,60,13.33
157,27,23,14.81,60,60,26.67
158,24,22,8.33,50,50,16.0
159,21,20,4.76,44,44,4.55
160,25,22,12.0,52,52,9.62
161,16,16,0.0,34,34,0.0
162,21,21,0.0,44,44,0.0
163,25,23,8.0,54,54,14.81
164,21,18,14.29,44,44,22.73
165,22,21,4.55,46,46,4.35
166,28,26,7.14,62,62,12.9
167,17,15,11.76,36,36,22.22
168,29,29,0.0,64,64,0.0
169,17,13,23.53,34,34,32.35
170,23,22,4.35,48,48,4.17
171,20,17,15.0,42,42,26.19
172,25,21,16.0,56,56,28.57
173,25,25,0.0,52,52,0.0
174,20,18,10.0,42,42,14.29
175,18,18,0.0,38,38,0.0
176,23,23,0.0,50,50,0.0
177,33,32,3.03,70,70,2.86
178,18,18,0.0,40,40,0.0
179,19,17,10.53,38,38,7.89
180,23,21,8.7,52,52,15.38
181,28,26,7.14,60,60,5.0
182,29,25,13.79,62,62,17.74
183,24,20,16.67,52,52,30.77
184,20,20,0.0,42,42,0.0
185,18,18,0.0,38,38,0.0
186,18,18,0.0,40,40,0.0
187,24,22,8.33,52,52,15.38
188,21,18,14.29,42,42,23.81
189,21,20,4.76,46,46,4.35
190,16,16,0.0,34,34,0.0
