Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
0,123,123,0.0,6418,6418,0.0
1,156,156,0.0,10036,10036,0.0
2,143,143,0.0,8554,8554,0.0
3,136,136,0.0,7812,7812,0.0
4,123,123,0.0,6336,6336,0.0
5,109,109,0.0,4944,4944,0.0
6,126,126,0.0,6590,6590,0.0
7,134,134,0.0,7540,7540,0.0
8,122,122,0.0,6264,6264,0.0
9,152,152,0.0,9438,9438,0.0
10,133,133,0.0,7410,7410,0.0
11,117,117,0.0,5902,5902,0.0
12,134,134,0.0,7526,7526,0.0
13,102,102,0.0,4546,4546,0.0
14,102,102,0.0,4488,4488,0.0
15,138,138,0.0,7882,7882,0.0
16,130,130,0.0,7096,7096,0.0
17,122,122,0.0,6298,6298,0.0
18,102,102,0.0,4482,4482,0.0
19,124,124,0.0,6408,6408,0.0
20,118,118,0.0,5922,5922,0.0
21,156,156,0.0,9942,9942,0.0
22,138,138,0.0,8124,8124,0.0
23,89,89,0.0,3534,3534,0.0
24,113,113,0.0,5444,5444,0.0
25,116,116,0.0,5760,5760,0.0
26,149,149,0.0,9088,9088,0.0
27,111,111,0.0,5228,5228,0.0
28,113,113,0.0,5434,5434,0.0
29,120,120,0.0,6098,6098,0.0
30,128,128,0.0,6894,6894,0.0
31,124,124,0.0,6606,6606,0.0
32,91,91,0.0,3660,3660,0.0
33,105,105,0.0,4692,4692,0.0
34,140,140,0.0,8232,8232,0.0
35,134,134,0.0,7674,7674,0.0
36,150,150,0.0,9236,9236,0.0
37,112,112,0.0,5294,5294,0.0
38,133,133,0.0,7444,7444,0.0
39,141,141,0.0,8446,8446,0.0
40,110,110,0.0,5318,5318,0.0
41,111,111,0.0,5336,5336,0.0
42,107,107,0.0,4934,4934,0.0
43,154,154,0.0,9680,9680,0.0
44,117,117,0.0,5794,5794,0.0
45,105,105,0.0,4586,4586,0.0
46,127,127,0.0,6716,6716,0.0
47,123,123,0.0,6402,6402,0.0
48,142,142,0.0,8380,8380,0.0
49,128,128,0.0,7092,7092,0.0
50,115,115,0.0,5668,5668,0.0
51,111,111,0.0,5216,5216,0.0
52,94,94,0.0,3836,3836,0.0
53,118,118,0.0,6010,6010,0.0
54,109,109,0.0,5164,5164,0.0
55,115,115,0.0,5536,5536,0.0
56,123,123,0.0,6488,6488,0.0
57,106,106,0.0,4780,4780,0.0
58,108,108,0.0,5120,5120,0.0
59,147,147,0.0,8802,8802,0.0
60,141,141,0.0,8238,8238,0.0
61,138,138,0.0,7770,7770,0.0
62,102,102,0.0,4540,4540,0.0
63,120,120,0.0,5858,5858,0.0
64,138,138,0.0,7882,7882,0.0
65,120,120,0.0,6148,6148,0.0
66,112,112,0.0,5528,5528,0.0
67,135,135,0.0,7644,7644,0.0
68,141,141,0.0,8394,8394,0.0
69,149,149,0.0,9396,9396,0.0
70,141,141,0.0,8278,8278,0.0
